herb,frequency,degree,weighted_degree,degree_centrality,betweenness_centrality,eigenvector_centrality
硫黄,1,11,11,0.03038674033149171,3.736312681671991e-05,0.000964252215057334
胡芦巴,1,11,11,0.03038674033149171,3.736312681671991e-05,0.000964252215057334
阳起石,1,11,11,0.03038674033149171,3.736312681671991e-05,0.000964252215057334
黑锡,1,11,11,0.03038674033149171,3.736312681671991e-05,0.000964252215057334
赤小豆,3,10,10,0.027624309392265192,0.005630216058522798,0.0013855364823178158
小麦,2,10,10,0.027624309392265192,0.0003186008236587832,0.005386524260264009
黑芝麻,2,9,10,0.024861878453038673,0.00037188603819282486,0.0037264113024511676
紫苏叶,2,9,10,0.024861878453038673,7.923541468083078e-05,0.003966623811966686
鹿角胶,2,5,10,0.013812154696132596,0.0,0.0053152547689067796
水,1,10,10,0.027624309392265192,0.0003898977403746879,0.005392740490877222
卷柏,1,10,10,0.027624309392265192,0.0003428395593210069,0.004678943137672816
芦荟,1,10,10,0.027624309392265192,0.00017597556285118323,0.002394488288137249
锁阳,1,10,10,0.027624309392265192,0.0001680951737663972,0.002655829098940989
铅丹,1,10,10,0.027624309392265192,0.00044188004163115443,0.0054395516818063
白石脂,1,10,10,0.027624309392265192,0.00026144931642594705,0.0035954227290219466
玳瑁,1,10,10,0.027624309392265192,2.8229785174760696e-05,0.00011256800643839648
金箔,1,10,10,0.027624309392265192,2.8229785174760696e-05,0.00011256800643839648
银箔,1,10,10,0.027624309392265192,2.8229785174760696e-05,0.00011256800643839648
雄黄,1,10,10,0.027624309392265192,2.8229785174760696e-05,0.00011256800643839648
昆布,1,10,10,0.027624309392265192,3.506021633529498e-05,0.0010508736985832923
橘核,1,10,10,0.027624309392265192,3.506021633529498e-05,0.0010508736985832923
海藻,1,10,10,0.027624309392265192,3.506021633529498e-05,0.0010508736985832923
薤白,3,6,9,0.016574585635359115,5.69397790443115e-05,0.002042221460678053
蒲黄,2,9,9,0.024861878453038673,0.0003761577545595315,0.0021284373857751613
松子仁,2,5,9,0.013812154696132596,0.0,0.001430972375150294
四物汤,1,9,9,0.024861878453038673,7.31950152357092e-05,0.0008399358185056631
龙眼肉,1,9,9,0.024861878453038673,0.0003464515698481967,0.004750033516909797
白茅根,1,9,9,0.024861878453038673,2.9741701570600573e-05,0.0006050523826397412
茜草,1,9,9,0.024861878453038673,2.9741701570600573e-05,0.0006050523826397412
鹿角,2,8,8,0.022099447513812154,0.00045407341120060746,0.001517671423609659
莱菔子,2,8,8,0.022099447513812154,0.0017492126466172255,0.002060809924471445
禹余粮,2,7,8,0.019337016574585635,1.438117184476897e-05,0.0002189186237523111
白头翁,2,5,8,0.013812154696132596,4.10673855073553e-05,0.00273276699391987
秦皮,2,5,8,0.013812154696132596,4.10673855073553e-05,0.00273276699391987
天葵子,2,4,8,0.011049723756906077,0.0,9.863666850146688e-05
紫花地丁,2,4,8,0.011049723756906077,0.0,9.863666850146688e-05
蒲公英,2,4,8,0.011049723756906077,0.0,9.863666850146688e-05
野菊花,2,4,8,0.011049723756906077,0.0,9.863666850146688e-05
土木香,1,8,8,0.022099447513812154,5.0801113658111436e-05,0.003382081994655568
玉竹,1,8,8,0.022099447513812154,5.0801113658111436e-05,0.003382081994655568
白薇,1,8,8,0.022099447513812154,5.0801113658111436e-05,0.003382081994655568
商陆,1,8,8,0.022099447513812154,2.2962274301497038e-05,0.000679991987552541
白前,1,8,8,0.022099447513812154,0.00026720202590076316,0.004505658621683035
龙齿,1,8,8,0.022099447513812154,1.726213680343672e-05,0.0016812932247090458
枇杷叶,1,8,8,0.022099447513812154,0.00023913301590333056,0.0036836337116736865
沙苑子,2,7,7,0.019337016574585635,0.0005331695875976837,0.000688969473791555
白鲜皮,1,7,7,0.019337016574585635,8.858793234022257e-05,0.0028789178425375366
胡黄连,1,7,7,0.019337016574585635,3.45058555396981e-05,0.001989593677119306
银柴胡,1,7,7,0.019337016574585635,3.45058555396981e-05,0.001989593677119306
青蒿,1,7,7,0.019337016574585635,3.45058555396981e-05,0.001989593677119306
蛤蚧,1,7,7,0.019337016574585635,0.0002076465817669841,0.003928184471527478
何首乌,1,7,7,0.019337016574585635,1.8749077181264668e-05,0.0010513450260501887
川牛膝,1,7,7,0.019337016574585635,1.8749077181264668e-05,0.0010513450260501887
草豆蔻,1,7,7,0.019337016574585635,0.00014337270728683504,0.0038802937590784233
